43659,Better Bike Shop,20565.6206,210.38,US pound
43660,Pedals Warehouse,1294.2529,36.19,US pound
43661,Original Bicycle Supply Company,32726.4786,293.65,US pound
43662,"Health Spa, Limited",28832.5289,794.08,US pound
43663,World Bike Discount Store,419.4589,19.90,US pound
43664,Capable Sales and Service,24432.6088,248.03,US pound
43665,Latest Sports Equipment,14352.7713,146.28,US pound
43666,Wheel Gallery,5056.4896,110.57,US pound
43667,Yellow Bicycle Company,6107.082,62.90,US pound
43668,Retail Mall,35944.1562,941.20,US pound
43669,The Bike Shop,714.7043,2.68,US pound
43670,Historic Bicycle Sales,6122.082,63.03,US pound
43671,Basic Bike Company,8128.7876,186.41,US pound
43672,Red Bicycle Company,6124.182,62.96,US pound
43673,Seventh Bike Store,3746.2015,122.68,US pound
43674,Requisite Part Supply,2624.382,52.26,US pound
43675,First Bike Store,5716.3102,174.97,US pound
43676,Trusted Catalog Store,14203.458,145.43,US pound
43677,Superb Sales and Repair,7793.1108,212.58,US pound
43678,Separate Parts Corporation,9799.9243,261.64,US pound
43679,General Bike Corporation,1316.0575,58.74,US pound
43680,Area Bike Accessories,11397.4992,250.44,US pound
43681,Bike Rims Company,13787.5434,390.09,US pound
43682,Convenient Bike Shop,3875.7229,132.25,US pound
43683,"Great Bikes ",42813.4333,441.27,US pound
43684,Daring Rides,5596.4705,166.41,US pound
43685,Simple Bike Parts,2736.5678,98.61,US pound
43686,Fifth Bike Store,3463.2998,90.45,US pound
43687,Curbside Universe,1258.3767,58.35,US pound
43688,Weekend Tours,12718.0844,303.49,US pound
43689,Fitness Toy Store,33997.3702,1013.56,US pound
43690,Small Cycle Store,1297.5901,59.22,US pound
43691,Grease and Oil Products Company,874.794,17.42,US pound
43692,Bike Dealers Association,38510.8973,970.78,US pound
43693,Clamps & Brackets Co.,20541.4072,209.18,US pound
43694,Juvenile Sports Equipment,20645.634,207.81,US pound
43695,Sports Sales and Rental,39373.781,389.64,US pound
43696,Retail Toy Store,419.4589,18.77,US pound
43843,Catalog Store,32940.1556,310.98,US pound
43844,Two-Wheeled Transit Company,20249.94,207.75,US pound
43845,New and Used Bicycles,8580.0739,189.21,US pound
43846,First-Rate Outlet,919.5201,12.16,US pound
43847,Gasless Cycle Shop,908.8209,17.42,US pound
43848,Suburban Cycle Shop,18269.946,186.68,US pound
43849,Brakes and Gears,20544.7015,209.24,US pound
43850,Non-Slip Pedal Company,10183.7952,197.56,US pound
43851,Retail Sales and Service,6783.7679,179.94,US pound
43852,Economy Center,2024.994,20.77,US pound
43853,Sharp Bikes,26354.922,271.78,US pound
43854,Professional Cyclists,1749.588,34.84,US pound
43855,National Manufacturing,10993.3516,356.15,US pound
43856,Sixth Bike Store,2036.394,21.13,US pound
43857,Tenth Bike Store,7186.5371,191.32,US pound
43858,Exotic Bikes,13694.3494,365.53,US pound
43859,Highway Bike Shop,3911.5991,110.83,US pound
43860,A Bike Store,10993.3942,243.78,US pound
43861,Qualified Sales and Repair Services,23401.1062,668.41,US pound
43862,Unified Sports Company,31000.7804,288.47,US pound
43863,Social Activities Club,1718.8983,56.09,US pound
43864,Sparkling Paint and Finishes,38474.3572,368.75,US pound
43865,Totes & Baskets Company,13196.0548,394.95,US pound
43866,Moderately-Priced Bikes Store,4076.388,41.48,US pound
43867,Raw Materials Inc,32673.0446,293.96,US pound
43868,Major Cycling,2146.962,15.00,US pound
43869,Permanent Finish Products,49193.9864,474.04,US pound
43870,Wholesale Bikes,4316.9864,172.92,US pound
43871,Fun Times Club,9398.8972,229.58,US pound
43872,Wire Baskets and Parts,11584.459,222.08,US pound
43873,Preferred Bikes,41250.4391,1017.07,US pound
43874,Travel Systems,419.4589,19.13,US pound
43875,Tread Industries,121761.9396,1206.95,US pound
43876,Active Transport Inc.,7135.2649,236.37,US pound
43877,Outdoor Sports Supply,20628.5745,208.85,US pound
